x_true 	 x_rec 
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
0.000000e+00 	 -nan
